Compound,Target,Affinity
Sunitinib,KDR,8.8
Sunitinib,FLT3,8.5
Sunitinib,P08581,6.2
Sunitinib,CHEMBL5145,5.1
CHEMBL1336,P15056,8.6
CHEMBL1336,KDR,8.1
CHEMBL1336,P36888,7.9
CHEMBL1336,JAK2,5.4
Crizotinib,ALK,8.9
Crizotinib,MET,8.7
Crizotinib,CHEMBL279,5.8
Dabrafenib,BRAF,9.2
Dabrafenib,Q9UM73,5.0
Palbociclib,CDK4,8.9
Palbociclib,P11802,8.9
Palbociclib,JAK2,4.5
Ruxolitinib,JAK2,8.7
Ruxolitinib,O60674,8.7
Ruxolitinib,KDR,4.8
Ibrutinib,BTK,9.3
Ibrutinib,Q06187,9.3
Ibrutinib,FLT3,6.5
Trametinib,BRAF,7.8
Trametinib,MET,4.2
